"ID","Title","Organisation ID","Organisation Name","Organisation Profile","Posted By - Name","Posted By - Profile","Short description","Location","Remote work allowed","Benefits","Workplace type","Description","Seniority level","Under 10 applications","Job functions","Date posted","Date expires","Industry","Source domain","Easy apply","Job type","Industry","Link"
"4233694695","Data Engineer, Fathom Data","b3JnOjkxMTM1MzYz","Zindi","https://www.linkedin.com/company/zindi-africa/life","","","-","Cape Town, Western Cape, South Africa","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4233694695"
"4250121660","Data Engineer","b3JnOjExMjY4NzE=","Elixirr Digital","https://www.linkedin.com/company/elixirrdigitalcom/life","","","-","Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4250121660"
"4226092685","Cloud Support Engineer","b3JnOjE4NjUxOA==","Ultima","https://www.linkedin.com/company/ultima-business-solutions/life","","","-","City of Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4226092685"
"4159724709","Data Engineer","b3JnOjExNzg2NDA1NQ==","DataAnnotation","https://www.linkedin.com/company/dataannotationtech/life","","","-","South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4159724709"
"4249777716","Systems Engineer","b3JnOjI0MDQ3MTI=","PathCare","https://www.linkedin.com/company/pathcare/life","","","-","City of Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4249777716"
"4251489154","Data Engineer (Travel Tech)","b3JnOjkyOTUwNDkx","HiCareer","https://www.linkedin.com/company/hicareer/life","","","-","EMEA (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4251489154"
"4227527623","Analytics Engineer III","b3JnOjUxMjk5","2U","https://www.linkedin.com/company/2u/life","","","-","Cape Town, Western Cape, South Africa","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4227527623"
"4248577882","Data Engineer","b3JnOjM4MDc0NjU=","Infotree Global Solutions","https://www.linkedin.com/company/infotree-global-solutions/life","","","-","South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4248577882"
"4223061954","Associate DevOps Engineer","b3JnOjE1MDg2MDI=","impact.com","https://www.linkedin.com/company/impactdotcom/life","","","-","Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4223061954"
"4108122055","Cloud Engineer","b3JnOjI2MDE0MQ==","Euromonitor International","https://www.linkedin.com/company/euromonitor-international/life","","","-","Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4108122055"
"4230820302","Data Engineer","b3JnOjE5NzQ3Njc=","DataOrbis","https://www.linkedin.com/company/dataorbis/life","","","-","South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4230820302"
"4244685138","Junior Platform and Compute Engineer","b3JnOjkxMjk0Mjc0","All jobs","https://www.linkedin.com/company/all-jobs-usa/life","","","-","Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4244685138"
"4224105157","Client Implementation Engineer","b3JnOjE3Mzk1MTE2","Electrum","https://www.linkedin.com/company/electrum-software/life","","","-","Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4224105157"
"4252522949","SQL Developer (Mid-level)","b3JnOjM0NTkyNTc=","Open Box Software","https://www.linkedin.com/company/open-box-software/life","","","-","Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4252522949"
"4224730075","Development Operations Engineer","b3JnOjc5MTIzMQ==","Penn Medicine Lancaster General Health","https://www.linkedin.com/company/lancaster-general-health/life","","","-","Matatiele, Eastern Cape, South Africa","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4224730075"
"4237276869","Data Engineer","b3JnOjI0OTU2NA==","Tenth Revolution Group","https://www.linkedin.com/company/tenthrevolution/life","","","-","Johannesburg Metropolitan Area (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4237276869"
